root@solaris:~# zfs get all rpool
NAME   PROPERTY              VALUE                  SOURCE
rpool  aclinherit            restricted             default
rpool  aclmode               discard                default
rpool  atime                 on                     default
rpool  available             22.8G                  -
rpool  canmount              on                     default
rpool  casesensitivity       mixed                  -
rpool  checksum              on                     default
rpool  compression           on                     local
rpool  compressratio         1.23x                  -
rpool  copies                1                      default
rpool  creation              Mon Feb 16  6:45 2026  -
rpool  dedup                 off                    default
rpool  defaultgroupquota     none                   -
rpool  defaultreadlimit      none                   default
rpool  defaultuserquota      none                   -
rpool  defaultwritelimit     none                   default
rpool  devices               on                     default
rpool  effectivereadlimit    none                   local
rpool  effectivewritelimit   none                   local
rpool  encryption            off                    -
rpool  exec                  on                     default
rpool  keychangedate         -                      default
rpool  keysource             none                   default
rpool  keystatus             none                   -
rpool  logbias               latency                default
rpool  mlslabel              none                   -
rpool  mounted               yes                    -
rpool  mountpoint            /rpool                 default
rpool  multilevel            off                    -
rpool  nbmand                off                    default
rpool  normalization         none                   -
rpool  primarycache          all                    default
rpool  quota                 none                   default
rpool  readlimit             default                default
rpool  readonly              off                    default
rpool  recordsize            128K                   default
rpool  referenced            1.64M                  -
rpool  refquota              none                   default
rpool  refreservation        none                   default
rpool  rekeydate             -                      default
rpool  reservation           none                   default
rpool  retention.*           ...                    -
rpool  rstchown              on                     default
rpool  secondarycache        all                    default
rpool  setuid                on                     default
rpool  shadow                none                   -
rpool  share.*               ...                    default
rpool  snapdir               hidden                 default
rpool  sync                  standard               default
rpool  type                  filesystem             -
rpool  unicode               14.0.0                 -
rpool  used                  8.47G                  -
rpool  usedbychildren        8.47G                  -
rpool  usedbydataset         1.64M                  -
rpool  usedbyrefreservation  0                      -
rpool  usedbysnapshots       0                      -
rpool  utf8only              off                    -
rpool  version               8                      -
rpool  vscan                 off                    default
rpool  writelimit            default                default
rpool  xattr                 on                     default
rpool  zoned                 off                    default
root@solaris:~#
