root@solaris:~# zpool get all rpool
NAME   PROPERTY             VALUE                     SOURCE
rpool  allocated            8.47G                     -
rpool  altroot              -                         default
rpool  autoexpand           off                       default
rpool  autoreplace          off                       default
rpool  bootfs               rpool/ROOT/11.4.81.193.1  local
rpool  cachefile            -                         default
rpool  capacity             26%                       -
rpool  clustered            off                       -
rpool  dedupditto           0                         default
rpool  dedupratio           1.00x                     -
rpool  delegation           on                        default
rpool  failmode             wait                      default
rpool  free                 23.3G                     -
rpool  guid                 7744560788790333117       -
rpool  health               ONLINE                    -
rpool  lastscrub            -                         default
rpool  listshares           off                       default
rpool  listsnapshots        off                       default
rpool  readonly             off                       -
rpool  retainedfilesystems  -                         -
rpool  retentionexpiry      -                         -
rpool  retentionheldfs      -                         -
rpool  scrubinterval        1m                        default
rpool  size                 31.7G                     -
rpool  version              53                        default
root@solaris:~#
