root@solaris:~# zpool upgrade -v
This system is currently running ZFS pool version 53.

The following versions are supported:

VER  DESCRIPTION
---  --------------------------------------------------------
  1  Initial ZFS version
  2  Ditto blocks (replicated metadata)
  3  Hot spares and double parity RAID-Z
  4  zpool history
  5  Compression using the gzip algorithm
  6  bootfs pool property
  7  Separate intent log devices
  8  Delegated administration
  9  refquota and refreservation properties
 10  Cache devices
 11  Improved scrub performance
 12  Snapshot properties
 13  snapused property
 14  passthrough-x aclinherit
 15  user/group space accounting
 16  stmf property support
 17  Triple-parity RAID-Z
 18  Snapshot user holds
 19  Log device removal
 20  Compression using zle (zero-length encoding)
 21  Deduplication
 22  Received properties
 23  Slim ZIL
 24  System attributes
 25  Improved scrub stats
 26  Improved snapshot deletion performance
 27  Improved snapshot creation performance
 28  Multiple vdev replacements
 29  RAID-Z/mirror hybrid allocator
 30  Encryption
 31  Improved 'zfs list' performance
 32  One MB blocksize
 33  Improved share support
 34  Sharing with inheritance
 35  Sequential resilver
 36  Efficient log block allocation
 37  LZ4 compression
 38  Xcopy with encryption
 39  Resilver restart enhancements
 40  New deduplication support
 41  Asynchronous dataset destroy
 42  Reguid: ability to change the pool guid
 43  RAID-Z improvements and cloud device support
 44  Device removal
 45  Lazy deadlists
 46  Compact file metadata for encryption
 47  Property support for ZVOLs
 48  File Retention
 49  Unicode versioning
 50  Raw crypto replication
 51  Retention onexpiry
 52  Clonedir
 53  Maximize space

For more information on a particular version, including supported releases,
see the ZFS Administration Guide.

root@solaris:~#
